recipename,instructions,cuisine,course_type,dietary_preference
Pb & Chocolate Pan Cookie,"[""Stir together peanut butter, eggs, and vanilla in large bowl."", ""Stir in brown sugar until combined. Add baking mix and 3/4 cup dark chocolate morsels, stirring just until moistened. Spread mixture in a lightly greased 15- x 10-inch jelly-roll pan."", ""Bake at 325\u00b0 for 20 minutes or until golden brown. Remove from oven, and sprinkle evenly with remaining 1 1/4 cups dark chocolate morsels; let stand 5 minutes or until chocolate melts. Spread melted chocolate evenly over top. Cut into triangles, bars, or squares."", ""Note: For testing purposes only, we used Bisquick All-Purpose Baking Mix and Hershey's Special Dark Chips.""]",american,dessert,omnivorous
Vanilla Ice Cream,"[""Mix flour with water; stir until smooth, then add to the preceding ingredients and cook slowly until thickens."", ""Cool, then add vanilla."", ""Add extra milk if needed to fill freezer."", ""You may also use fresh fruits.""]",american,dessert,vegetarian
Chicken Cutlet Salad,"[""For each serving: Toss 2 cups lettuce and 1/4 cup each peppers, tomatoes, olives, cucumbers and onions in large bowl."", ""Add 2 Tbsp."", ""dressing; toss to coat."", ""Place on serving plate; top with 3 chicken tenders.""]",american,main,omnivorous
Quick Vegetable Soup,"[""In a large saucepan, bring the broth, tomatoes, onion, cabbage, vegetables and seasonings to a boil. Add macaroni; simmer, uncovered, for 10 minutes or until pasta is tender. Add meat; heat through.""]",american,main,omnivorous
Kellogg's Rice Krispies Treats Original Recipe,"[""1."", ""Melt margarine in large saucepan over low heat."", ""Add marshmallows and stir until completely melted."", ""Remove from heat."", ""2."", ""Add KELLOGG'S RICE KRISPIES cereal."", ""Stir until well coated."", ""3."", ""Using buttered spatula or waxed paper, press mixture evenly into 13x9x2-inch pan coated with cooking spray."", ""Cut into 2-inch squares when cool."", ""Best if served the same day."", ""MICROWAVE DIRECTIONS: In a large microwave safe bowl, heat margarine and marshmallows at HIGH for 3 minutes, stirring after 2 minutes."", ""Stir until smooth."", ""Follow steps 2 and 3 above."", ""Microwave cooking times may vary.""]",american,dessert,omnivorous
Wild Mushroom Soup with Sherry,"[""Place Porcini in medium bowl."", ""Pour boiling water over."", ""Let stand until softened, about 30 minutes."", ""Drain, reserving soaking liquid."", ""Strain soaking liquid through cheesecloth to remove any dirt."", ""Coarsely chop Porcini."", ""Melt butter in heavy large saucepan over medium high heat."", ""Add onion and saute until tender, about 5 minutes."", ""Add garlic, Shiitake and Porcini and saute until mushrooms are tender, about 5 minutes."", ""Add Sherry and boil until almost all liquid evaporates."", ""Add reserved soaking liquid and stock."", ""Simmer soup 15 minutes to blend flavors."", ""Add Enoki mushrooms and stir until heated through."", ""Season to taste with salt and pepper."", ""Ladle soup into bowls."", ""Drizzle with additional Sherry and garnish with epazote, oregano or chives.""]",european,starter,vegetarian
Steak And Rice,"[""Cut steak into thin strips."", ""In large skillet, brown meat in oil using high heat; add onions."", ""Saute until tender."", ""Blend soup, sherry (or water) and liquid from mushrooms."", ""Add to the meat and onions. Reduce heat, cover and simmer for 1 hour or until steak is tender."", ""Or place in ovenproof casserole or pan and bake at 350\u00b0 for 45 minutes to 1 hour."", ""Serve over rice."", ""Serves 6.""]",american,main,omnivorous
Banana Nutella Ice Cream,"[""Place frozen bananas in a blender or food processor-whatever you have will work. Pulse and keep pulsing until the bananas break down. Keep going even if it looks crumbly. This may take several minutes. When the bananas look like soft serve ice cream, add Nutella and pulse until distributed."", ""Enjoy!""]",american,dessert,vegetarian
Broccoli Casserole,"[""Melt oleo; add croutons."", ""Cook broccoli and drain."", ""Add 1 cup of croutons to mixture of broccoli, carrot, onion, cream of chicken soup and sour cream; stir."", ""Top with 1 cup croutons. Bake at 350\u00b0 for 30 minutes.""]",american,side,vegetarian
Smoothie Granola Bowl Breakfast Vegan Recipes,"[""1 Dice the frozen banana and pulse in a blender with the frozen fruit and almond milk until creamy and smooth. High-powered blenders are great, but you can also use a food processor; occasionally scrape and mix the fruit with a rubber spatula."", ""2 Immediately scoop the blended banana into a bowl, add toppings, and eat eat eat!"", ""3 Enrich that smoothie bowl with any of the following additions. Add\nprior to blending:"", "" Scoop of your favorite vanilla or chocolate vegan protein powder\n Frozen acai pulp (I usually use half of a packet per bowl)\n Couple spoonfuls of coconut or soy yogurt\n 1 soaked, pitted date, for sweetness\n Spoonful of almond, peanut, or hemp seed butter"", ""Frozen ripe bananas are a game changer. Peel, store in resealable plastic bags, and freeze until fi rm . . . that's it! Cacao nibs are a natural food store staple that add crunchy raw chocolate fl avor without the sugar."", ""AND SOME OTHER FAVORITE TOPPINGS . . .\n\nToasted chopped nuts or hemp seeds\nToasted coconut\nChopped walnuts, almonds, or more frozen berries!""]",american,main,vegan
Burritos Grande,"[""Heat oven to 350F."", ""Cook meat with seasoning mix as directed on package."", ""Remove from heat; stir in 1/2 cup sour cream."", ""Spread beans down centers of tortillas; top with meat mixture and 1/2 cup cheese."", ""Fold in opposite sides of each tortilla, then roll up, burrito style."", ""Place, seam-sides down, in 13x9-inch baking dish sprayed with cooking spray; cover."", ""Bake 25 min."", ""Top with remaining cheese; bake, uncovered, 5 min."", ""or until melted."", ""Serve topped with remaining sour cream.""]",mexican,main,omnivorous
Blueberry Gelatin Salad Or Dessert,"[""Dissolve jello in 1 cup hot water."", ""Add 1 cup cold water."", ""Add lemon juice, chill to syrupy."", ""Add blueberry pie filling."", ""Mix sugar and sour cream."", ""Spread over jello.""]",american,dessert,omnivorous
Greek Pizza,"[""Preheat oven to 400\u00b0."", ""In a large skillet, cook the onions and garlic with salt in 2 Tbsp. olive oil, until the onions are clear and soft."", ""Add herbs, lemon juice and spinach and cook over fairly high heat, stirring, until the spinach is limp and the liquid is evaporated.""]",greek,main,omnivorous
Roasted Green Beans And Baby Red Potatoes,"[""Preheat oven to 350\u00b0."", ""Thoroughly wash the whole green beans and cut off the stems. Lay whole green beans on paper towels to dry."", ""Thoroughly wash, do not peel, the baby red potatoes using a brush to scrub the eyes. If the potatoes are golf ball size or larger, cut them in half. Lay whole baby red potatoes on paper towels to dry."", ""Gently spray 2 large flat baking pans with olive oil flavored cooking spray. (I use 9\""X13\"" metal or glass pans)."", ""Lay the green beans in one pan. It's best if they all lay flat on the bottom of the pan."", ""Lay the potatoes in the other pan, laying flat, not piled up on top of each other."", ""Generously spray both pans of veggies with olive oil flavored (or butter flavored) cooking spray."", ""Place the pans in the oven on the rack above center, but not on the top rack."", ""Bake for 25 minutes or until roasted, slightly brown, and fork tender."", ""If baked for 25 minutes and the vegetables are not as brown as desired, broil for two or three minutes, watching closely."", ""Remove from oven, pour potatoes over the green beans, sprinkle with coarse ground salt, toss gently, and serve immediately.""]",american,side,vegan
Chunky Salsa,"[""Combine all ingredients."", ""Cover and refrigerate 6 to 8 hours. Serve with chips or meat.""]",mexican,side,vegan
Vegetarian Tortilla Pizza,"[""Preheat oven to 350\u00b0."", ""Place beans, 2 tablespoons lime juice, cumin, and garlic in a blender; process until smooth, scraping bottom and sides frequently."", ""Combine tomatoes, cilantro, vinegar, jalapeno, 1 tablespoon lime juice, and salt. Toss and set aside."", ""Place a large nonstick skillet coated with cooking spray over medium-high heat. Add bell pepper and onion; coat with cooking spray and cook 4 minutes or until onion is crisp-tender."", ""Place tortillas on ungreased baking sheets. Spread equal amounts of bean mixture on each tortilla. Add onion and pepper mixture evenly to each; top with cheese, and bake at 350\u00b0 for 5 minutes or until cheese melts. Remove from oven; sprinkle evenly with tomato mixture.""]",mexican,main,vegetarian
Pumpkin Pie,"[""Bake 1 pie crust according to package directions."", ""Reserve remaining pie crust for garnish."", ""Set aside in large saucepan. Combine gelatin, cornstarch, cinnamon, nutmeg, ginger and salt. Stir in pumpkin and evaporated skim milk."", ""Let stand 5 minutes to soften gelatin."", ""Cook and stir using medium heat until mixture bubbles."", ""Cook and stir for 2 minutes."", ""Remove from heat. Gradually stir 1 cup hot mixture into eggs."", ""Return all egg mixture to saucepan."", ""Cook and stir over low heat for 2 minutes."", ""Do not boil."", ""Remove from heat."", ""Stir in Equal."", ""Pour into baked pie crust."", ""Cover and chill 6 hours or overnight."", ""Makes 8 servings. Contains 237 calories."", ""Food Exchange:"", ""1/2 Milk, 1 1/2 Bread, 2 Fat.""]",american,dessert,omnivorous
Vegan Strawberry Muffins,"[""Preheat your oven to 375 degrees. Grease 12 muffin tins."", ""Mix together dry ingredients."", ""In another bowl, mix soymilk, oil, and vanilla, but be careful not to over-mix. It should be a bit lumpy."", ""Mix the wet and dry ingredients, fold in the strawberries, and spoon batter into muffin tins."", ""Bake for 15 - 20 minutes, or until a toothpick comes out dry."", ""Allow to sit for at least 10 minutes inside the pan, then remove them and place on a cooling rack.""]",american,dessert,vegan
Beef 'n' Chili Beans,"[""Place the beef in a 3-quart slow cooker."", ""Combine the brown sugar, mustard, salt, paprika, chili powder and pepper; sprinkle over beef and toss to coat."", ""Top with onion, tomatoes, beans, and corn."", ""Cover and cook on low for 6-8 hours or until meat is tender.""]",tex-mex,main,omnivorous
Campanelle With Roast Vegetables Recipe,"[""Place the oil in a roasting tin and place on the top oven shelf in a preheated oven 200 C, 400 F, Gas Mark 6 for 2-3 min."", ""Carefully remove from the oven and add in the onion, garlic, peppers, courgettes and corn."", ""Coat with the oil and return to the oven for 35-40 min."", ""Stir in the freshly cooked and liquid removed campanelle, olives, feta cheese, basil and seasoning to taste."", ""Serve immediately with crusty bread.""]",italian,main,vegetarian
Sweet Potato Cake,"[""Preheat oven to 350 degrees F. Grease and flour 1 (9-inch) pan."", ""In a large bowl, stir together the flour, baking soda, baking powder, salt, cinnamon, nutmeg, and granulated sugar."", ""Set aside."", ""In the bowl of a mixer, cream margarine and brown sugar on low speed, and then increase speed to medium and beat until well-combined."", ""Gradually add the dry ingredients and beat on low speed until just incorporated."", ""Add eggs, 1 at a time, beating well after each egg and scraping down the sides of the bowl after the addition of each egg."", ""Add vanilla, sweet potatoes and blend on low speed until thoroughly mixed."", ""Pour batter into pans and smooth the surface with a metal spatula."", ""Bake for 1 hour to 1 hour and 10 minutes, or until a toothpick inserted in center comes out clean; when you touch the center of the cake, it should spring back."", ""Allow to cool in pans for 10 minutes, and then invert onto a rack and cool completely."", ""Top with caramel sauce, pistachios, and mandarin oranges (enjoy).""]",american,dessert,vegetarian
Fudge Nougats,"[""In saucepan, add butter, sugar and milk. Bring to a boil, stirring constantly. Boil 10 minutes, stirring constantly."", ""Take off heat. Stir in chocolate morsels, flour, graham crackers, nuts and vanilla."", ""Spread in well buttered 12 x 8 or 9 x 9-inch pan. If desired, top with walnut halves. Cut in squares. For richer chocolate flavor, add 1/4 cup cocoa.""]",american,dessert,omnivorous
